diseaseId,diseaseName,geneId,geneSymbol,count,pubmeds_max,score,score_mean,associationType,source,query_disease,query_disease_id
DOID:9352,type 2 diabetes mellitus,3667,IRS1,1.0,112.0,0.907216438728992,0.907216438728992,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|MGD|RGD|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3172,HNF4A,3.0,141.0,0.7249613703804391,0.2418427931735421,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,208,AKT2,1.0,3.0,0.720850513710281,0.720850513710281,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|MGD|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6928,HNF1B,1.0,40.0,0.6917810392158951,0.6917810392158951,AlteredExpression|Biomarker|GeneticVariation|Therapeutic,BeFree|CLINVAR|CTD_human|GAD|LHGDN|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6934,TCF7L2,1.0,305.0,0.647658039453105,0.647658039453105,AlteredExpression|Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,9479,MAPK8IP1,1.0,1.0,0.620283504570094,0.620283504570094,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,11132,CAPN10,1.0,115.0,0.6160084964624721,0.6160084964624721,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3569,IL6,1.0,76.0,0.59290594204536,0.59290594204536,AlteredExpression|Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3643,INSR,2.0,106.0,0.590225487103891,0.2953962481220392,Biomarker|GeneticVariation,BeFree|CLINVAR|GAD|RGD|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6514,SLC2A2,1.0,30.0,0.558149825435698,0.558149825435698,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN|MGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6517,SLC2A4,1.0,48.0,0.551294245808995,0.551294245808995,Biomarker|GeneticVariation,BeFree|CTD_human|GAD|MGD|UNIPROT,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,5078,PAX4,1.0,13.0,0.527304459957209,0.527304459957209,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,2645,GCK,1.0,160.0,0.5228126061447199,0.5228126061447199,Biomarker|GeneticVariation|Therapeutic,BeFree|CTD_human|GAD|LHGDN|MGD|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3159,HMGA1,1.0,8.0,0.514585104080097,0.514585104080097,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|MGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,5167,ENPP1,1.0,56.0,0.4852802827189439,0.4852802827189439,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6833,ABCC8,1.0,55.0,0.481740416893566,0.481740416893566,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,10644,IGF2BP2,1.0,86.0,0.4810566782336529,0.4810566782336529,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,56729,RETN,1.0,54.0,0.467682021728057,0.467682021728057,AlteredExpression|Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,4760,NEUROD1,1.0,28.0,0.452303677091916,0.452303677091916,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD|LHGDN,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3952,LEP,1.0,60.0,0.450563004423745,0.450563004423745,AlteredExpression|Biomarker|GeneticVariation|Therapeutic,BeFree|CTD_human|GAD|LHGDN|MGD|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3990,LIPC,1.0,16.0,0.4447069818316149,0.4447069818316149,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,3630,INS,3.0,2252.0,0.442612885323647,0.219144154338413,AlteredExpression|Biomarker|GeneticVariation|Therapeutic,BeFree|CTD_human|GAD|LHGDN|MGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,2642,GCGR,1.0,17.0,0.421770780249635,0.421770780249635,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,6927,HNF1A,2.0,132.0,0.416517577470432,0.2094173224948897,AlteredExpression|Biomarker|GeneticVariation,BeFree|CTD_human|GAD|LHGDN|MGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,2820,GPD2,1.0,7.0,0.413734590369816,0.413734590369816,Biomarker|GeneticVariation,BeFree|CLINVAR|CTD_human|GAD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,9370,ADIPOQ,1.0,132.0,0.410708801829034,0.410708801829034,Biomarker|GeneticVariation,BeFree|CTD_human|GAD|LHGDN|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,7124,TNF,1.0,105.0,0.403904692146786,0.403904692146786,AlteredExpression|Biomarker|GeneticVariation,BeFree|CTD_human|GAD|LHGDN|RGD,Type 2 Diabetes Mellitus,C0011860
DOID:9352,type 2 diabetes mellitus,54901,CDKAL1,1.0,112.0,0.3887113016261819,0.3887113016261819,Biomarker|GeneticVariation,BeFree|CTD_human|GAD|MGD,Type 2 Diabetes Mellitus,C0011860
