drug_name,pert_id,moa,in_lincs
metformin,BRD-K79602928,Unknown,True
glipizide,BRD-K12219985,Unknown,True
glyburide,,,False
glimepiride,BRD-K34776109,Unknown,True
pioglitazone,BRD-A48430263,Unknown,True
rosiglitazone,BRD-A97437073,Unknown,True
sitagliptin,BRD-K19416115,Unknown,True
linagliptin,,,False
exenatide,,,False
liraglutide,,,False
canagliflozin,,,False
dapagliflozin,,,False
empagliflozin,,,False
tolbutamide,BRD-K85119730,Unknown,True
repaglinide,BRD-K82846253,Unknown,True
nateglinide,BRD-K44353683,Unknown,True
acarbose,BRD-A16444946,Unknown,True
miglitol,BRD-K44779798,Unknown,True
pramlintide,,,False
