pert_iname,quality_score,moa,canonical_smiles,pert_id,cell_id,pert_dose,pert_time,name_relevance,connectivity_score
glipizide,1.0,,Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,BRD-K12219985,MCF7,10.0,24,1,1.0
SRC-kinase-inhibitor-II,1.0,,COc1ccc2c(cc(C)c3nnc(SCC(=O)Nc4cccc(c4)C(=O)C)n32)c1,BRD-K97330509,HA1E,10.0,24,1,1.0
rosiglitazone,1.0,,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,BRD-A97437073,PC3,10.0,24,1,1.0
tolbutamide,1.0,,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,BRD-K85119730,MCF7,10.0,24,1,1.0
rondual-kinase-inhibitor,1.0,,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,BRD-K29983336,BT20,0.08,24,1,1.0
RHO-kinase-inhibitor-III[rockout],1.0,,c1[nH]c2ccccc2c1c3ccncc3,BRD-K23875128,A375,10.0,24,1,1.0
RHO-kinase-inhibitor-II,1.0,,Clc1cc(Cl)c(NC(=O)Nc2ccncc2)c(Cl)c1,BRD-K46678324,A375,10.0,24,1,1.0
sitagliptin,1.0,,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F,BRD-K19416115,A549,10.0,6,1,1.0
VEGF-receptor-2-kinase-inhibitor-IV,1.0,,COc1ccc(cc1)c2cnc3c(cnn3c2)c4ccsc4,BRD-K61737877,HA1E,10.0,24,1,1.0
SRC-kinase-inhibitor-I,1.0,,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,BRD-K50495309,A375,10.0,24,1,1.0
acarbose,1.0,,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,BRD-A16444946,MCF7,10.0,6,1,1.0
metformin,1.0,,CN(C)C(=N)NC(N)=N,BRD-K79602928,A375,0.15625,24,1,1.0
phenformin,1.0,,NC(=N)NC(=N)NCCc1ccccc1,BRD-K11399644,VCAP,10.0,24,1,1.0
pioglitazone,1.0,,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,BRD-A48430263,MCF7,10.0,6,1,1.0
BRD-K29003210,1.0,,CCc1nnc(NC(=O)c2nc(ncc2Cl)S(=O)(=O)Cc3ccccc3)s1,BRD-K29003210,A549,10.0,6,0,0.7
DCEBIO,1.0,,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc12,BRD-K32526544,HA1E,10.0,24,0,0.7
CVF-SUMO-7,1.0,,CN1CCN(CC(C(=O)c2ccc(F)cc2)c2ccccc2)CC1,BRD-A25088322,MCF7,10.0,6,0,0.7
CYT387,1.0,,O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1,BRD-K87737963,BT20,0.08,24,0,0.7
