drug,targets,action,status,direct_workload_targets,total_pathways_affected,relevant_pathways,network_neighbors,network_centrality,np_score,relevant_pathway_names
BRD7552,PDX1,inducer,research,1,283,50,73,0.0255,105.13,GOBP_GLUCOSE_METABOLIC_PROCESS; GOBP_NEGATIVE_REGULATION_OF_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS; HP_PANCREATIC_HYPOPLASIA; GOBP_INSULIN_SECRETION; GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS
Dorzagliatin,GCK,activator,approved,1,294,43,215,0.0752,91.38,HP_IMPAIRED_GLUCOSE_TOLERANCE; GOBP_GLUCOSE_METABOLIC_PROCESS; KEGG_INSULIN_SIGNALING_PATHWAY; HP_PANCREATIC_HYPOPLASIA; GOBP_INSULIN_SECRETION
Piragliatin,GCK,activator,phase2,1,294,43,215,0.0752,91.38,HP_IMPAIRED_GLUCOSE_TOLERANCE; GOBP_GLUCOSE_METABOLIC_PROCESS; KEGG_INSULIN_SIGNALING_PATHWAY; HP_PANCREATIC_HYPOPLASIA; GOBP_INSULIN_SECRETION
Salubrinal,"EIF2AK3, DDIT3",modulator,research,2,659,41,522,0.1826,90.91,GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION; HP_ABNORMALITY_OF_EXOCRINE_PANCREAS_PHYSIOLOGY; HP_REDUCED_PANCREATIC_BETA_CELLS; GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN; HP_ABNORMALITY_OF_ENDOCRINE_PANCREAS_PHYSIOLOGY
4-PBA,HSPA5,chaperone,approved,1,311,38,779,0.2726,82.36,GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT; GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE; GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION; GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
TUDCA,HSPA5,chaperone,approved,1,311,38,779,0.2726,82.36,GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT; GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE; GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION; GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Glibenclamide,ABCC8,inhibitor,approved,1,438,32,154,0.0539,69.27,GOBP_INSULIN_SECRETION; HP_ABNORMALITY_OF_EXOCRINE_PANCREAS_PHYSIOLOGY; HP_REDUCED_PANCREATIC_BETA_CELLS; HP_ABNORMALITY_OF_ENDOCRINE_PANCREAS_PHYSIOLOGY; REACTOME_REGULATION_OF_INSULIN_SECRETION
Diazoxide,ABCC8,opener,approved,1,438,32,154,0.0539,69.27,GOBP_INSULIN_SECRETION; HP_ABNORMALITY_OF_EXOCRINE_PANCREAS_PHYSIOLOGY; HP_REDUCED_PANCREATIC_BETA_CELLS; HP_ABNORMALITY_OF_ENDOCRINE_PANCREAS_PHYSIOLOGY; REACTOME_REGULATION_OF_INSULIN_SECRETION
Metformin,"PRKAA1, PRKAA2",activator,approved,0,460,11,322,0.1127,24.56,GOBP_GLUCOSE_METABOLIC_PROCESS; GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION; GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_INSULIN; GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS
Dapagliflozin,SLC5A2,inhibitor,approved,0,77,4,87,0.0304,10.15,GOMF_GLUCOSE_SODIUM_SYMPORTER_ACTIVITY; GOBP_GLUCOSE_IMPORT_ACROSS_PLASMA_MEMBRANE; GOBP_GLUCOSE_IMPORT; GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
Empagliflozin,SLC5A2,inhibitor,approved,0,77,4,87,0.0304,10.15,GOMF_GLUCOSE_SODIUM_SYMPORTER_ACTIVITY; GOBP_GLUCOSE_IMPORT_ACROSS_PLASMA_MEMBRANE; GOBP_GLUCOSE_IMPORT; GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
