pathway,overlap_genes,overlap_count,pathway_size,enrichment_ratio,pvalue,rank,fdr
HP_REDUCED_PANCREATIC_BETA_CELLS,"ABCC8, INS, EIF2AK3, KCNJ11, GCK, PDX1",6,7,1008.4,9.748813570038176e-19,1,2.790110443744926e-15
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,"IAPP, INS, NKX6-1, MAFA, GCK, PDX1, SLC2A2",7,21,392.16,8.859197378278954e-18,2,1.2677511448317182e-14
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,"IAPP, INS, NKX6-1, MAFA, GCK, PDX1, SLC2A2",7,25,329.41,3.655969689196354e-17,3,3.487795083493322e-14
HP_ABNORMALITY_OF_ENDOCRINE_PANCREAS_PHYSIOLOGY,"ABCC8, INS, KCNJ11, PDX1, MAFA, GCK, EIF2AK3",7,29,283.98,1.184974899782758e-16,4,8.478495407945633e-14
HP_IMPAIRED_GLUCOSE_TOLERANCE,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1, SLC2A2",7,30,274.51,1.5449424307486453e-16,5,8.843250473605246e-14
HALLMARK_PANCREAS_BETA_CELLS,"ABCC8, IAPP, INS, NKX6-1, GCK, PDX1, SLC2A2",7,40,205.88,1.408649525385869e-15,6,6.719258236090595e-13
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,"IAPP, INS, NKX6-1, MAFA, GCK, PDX1, SLC2A2",7,42,196.08,2.0366126492664695e-15,7,8.326836288858051e-13
KEGG_TYPE_II_DIABETES_MELLITUS,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1, SLC2A2",7,47,175.22,4.7373281832885106e-15,8,1.6947791575714647e-12
HP_NEONATAL_INSULIN_DEPENDENT_DIABETES_MELLITUS,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3",6,21,336.13,7.50752728483251e-15,9,2.387393676576738e-12
HP_MODERATE_ALBUMINURIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,8,735.29,1.2981801883741619e-14,10,3.715391699126851e-12
HP_HYPERINSULINEMIC_HYPOGLYCEMIA,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1",6,24,294.12,1.859526574133696e-14,11,4.838150050155126e-12
WP_UNFOLDED_PROTEIN_RESPONSE,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,25,282.35,2.4455909755372222e-14,12,5.832734476656275e-12
WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,29,243.41,6.547223895288504e-14,13,1.4413965221781307e-11
HP_INSULIN_RESISTANCE,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3, SLC2A2",7,80,102.94,2.3584847752999565e-13,14,4.821416733506054e-11
HP_ABNORMAL_ORAL_GLUCOSE_TOLERANCE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,14,420.17,4.627082927487973e-13,16,8.276694586544112e-11
HP_INSULIN_RESISTANT_DIABETES_MELLITUS,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3",6,39,181.0,4.4757084909578447e-13,15,8.539651800747567e-11
HP_GLYCOSURIA,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,40,176.47,5.263053549023258e-13,17,8.860505445473274e-11
HP_TRANSIENT_NEONATAL_DIABETES_MELLITUS,"ABCC8, INS, KCNJ11, GCK, PDX1",5,16,367.65,1.008535546801048e-12,21,1.3744898737831425e-10
HP_ELEVATED_HEMOGLOBIN_A1C,"ABCC8, INS, KCNJ11, GCK, PDX1",5,16,367.65,1.008535546801048e-12,20,1.4432143674722996e-10
PID_HNF3B_PATHWAY,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,45,156.86,1.1141883524061624e-12,22,1.4494577566301985e-10
HP_ALBUMINURIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,16,367.65,1.008535546801048e-12,19,1.5191730183918943e-10
HP_HYPERGLYCEMIA,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,44,160.43,9.660860703458618e-13,18,1.5360768518499202e-10
WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,47,150.19,1.4674395133130713e-12,23,1.8260051683052217e-10
HP_HEPATOCELLULAR_ADENOMA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,18,326.8,1.976302334050496e-12,24,2.3567405333552163e-10
HP_HYPOINSULINEMIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,20,294.12,3.572588583720215e-12,25,4.089899410642902e-10
HP_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,"ABCC8, INS, KCNJ11, GCK, PDX1",5,21,280.11,4.686676413856274e-12,26,5.158949190944868e-10
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,"DDIT3, XBP1, ERN1, ATF4, PDX1, EIF2AK3",6,63,112.04,9.215776578849328e-12,27,9.768723173580287e-10
HP_PANCREATIC_HYPOPLASIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,24,245.1,9.774614001105367e-12,28,9.991051882558414e-10
HP_ABNORMALITY_OF_EXOCRINE_PANCREAS_PHYSIOLOGY,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3",6,65,108.6,1.1192697480709845e-11,29,1.1046034548203991e-09
HP_ABNORMAL_C_PEPTIDE_LEVEL,"ABCC8, INS, KCNJ11, GCK, PDX1",5,25,235.29,1.2212153523942865e-11,30,1.1650394461841494e-09
HP_KETONURIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,26,226.24,1.5112243010467986e-11,31,1.3952012740632056e-09
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,75,94.12,2.7156883890013016e-11,32,2.428843802913039e-09
HP_ABNORMALITY_OF_PANCREAS_PHYSIOLOGY,"ABCC8, INS, KCNJ11, PDX1, MAFA, GCK, EIF2AK3",7,166,49.61,4.333988674915829e-11,33,3.758750178063364e-09
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,"DDIT3, XBP1, ERN1, EIF2AK3, PDX1, HSPA5",6,82,86.08,4.706944067272572e-11,35,3.848935405866886e-09
HP_ABNORMALITY_OF_BLOOD_VOLUME_HOMEOSTASIS,"ABCC8, INS, KCNJ11, GCK, PDX1",5,32,183.82,4.6125210292878696e-11,34,3.882657407594671e-09
HP_ABNORMAL_PANCREAS_SIZE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,33,178.25,5.4334646300443496e-11,36,4.319604380885258e-09
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,"DDIT3, ATF4, HSPA5, XBP1",4,10,470.59,7.475876471372188e-11,37,5.782691475964109e-09
KANG_GLIS3_TARGETS,"ABCC8, IAPP, INS, NKX6-1, SLC2A2",5,36,163.4,8.617733359545562e-11,39,6.324090480774204e-09
HP_OVERWEIGHT,"ABCC8, INS, KCNJ11, GCK, PDX1",5,36,163.4,8.617733359545562e-11,38,6.490513914478789e-09
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,92,76.73,9.539977123506077e-11,40,6.825853631868598e-09
HP_ABNORMAL_WAIST_TO_HIP_RATIO,"ABCC8, KCNJ11, GCK, PDX1, SLC2A2",5,37,158.98,9.959266412621746e-11,41,6.9520537738837654e-09
HP_DEHYDRATION,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3",6,95,74.3,1.16111021883597e-10,42,7.912136776925109e-09
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,97,72.77,1.318929463211275e-10,43,8.778549124908533e-09
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,"DDIT3, ATF4, HSPA5, XBP1",4,12,392.16,1.7603380969691658e-10,44,1.1450199167103982e-08
HP_LATE_ONSET,"ABCC8, KCNJ11, GCK, PDX1, SLC2A2",5,42,140.06,1.938725094400362e-10,45,1.2330291600386302e-08
HP_NEPHROPATHY,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,104,67.87,2.018576219338065e-10,46,1.2559054651620745e-08
HP_NEONATAL_HYPOGLYCEMIA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,43,136.8,2.1927221578818494e-10,47,1.3352278331612453e-08
HP_RENAL_TUBULAR_DYSFUNCTION,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,112,63.03,3.170597595319924e-10,48,1.8904688162095047e-08
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,116,60.85,3.924923050649299e-10,50,2.2466259541916586e-08
HP_LARGE_FOR_GESTATIONAL_AGE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,48,122.55,3.8907381301634564e-10,49,2.2725086792913902e-08
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,"ABCC8, XBP1, ERN1, ATF4, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1, SOX9, HSPA5",12,1653,8.54,4.088313339909939e-10,51,2.2942652507494596e-08
HP_PROMINENT_METOPIC_RIDGE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,49,120.05,4.3306978273589904e-10,52,2.3835494580579672e-08
