,minimum,maximum,range
MAR10620,-1000.0,1000.0000000439418,2000.0000000439418
MAR04337,-1000.0000000000028,1000.0000000088155,2000.0000000088185
MAR09972,-1000.0000000008266,1000.0000000000002,2000.0000000008267
MAR09263,-1000.0,1000.0000000008195,2000.0000000008195
MAR03746,-1000.0,1000.0000000004376,2000.0000000004375
MAR10580,-1000.0000000003488,999.9999999999998,2000.0000000003486
MAR04899,-1000.0,1000.0000000002357,2000.0000000002356
MAR09029,-999.9999999999999,1000.0000000001473,2000.0000000001473
MAR04215,-1000.0000000001328,999.9999999999999,2000.0000000001328
MAR02125,-999.9999999999983,1000.0000000001169,2000.000000000115
MAR10542,-999.999999999998,1000.0000000001078,2000.0000000001057
MAR06460,-1000.0000000000958,999.9999999999998,2000.0000000000955
MAR10959,-1000.0000000000744,999.9999999999994,2000.0000000000737
MAR10511,-1000.0000000000721,1000.0000000000001,2000.0000000000723
MAR10516,-1000.0000000000001,1000.0000000000656,2000.0000000000657
MAR10721,-1000.0000000000022,1000.0000000000618,2000.0000000000641
MAR03483,-1000.0,1000.0000000000597,2000.0000000000596
MAR10573,-1000.0000000000002,1000.0000000000553,2000.0000000000555
MAR10537,-1000.0000000000515,1000.0,2000.0000000000514
MAR04330,-1000.000000000004,1000.0000000000463,2000.0000000000502
