method,beta,se,pvalue,n_snps,or,or_ci_lower,or_ci_upper,intercept,intercept_pvalue,gene
IVW,-0.1541605887131601,0.004762629748319907,7.547146800849947e-230,10,0.8571343638541637,0.8491704535623075,0.8651729633522574,,,PDX1
Weighted Median,-0.15951609936918304,0.039110245882762754,4.530247996244804e-05,10,0.8525562416682518,0.7896447001765304,0.9204799893483764,,,PDX1
MR-Egger,0.05451968540385657,0.0926500494142819,0.5562319958549987,10,1.0560332646504125,0.8806681383674356,1.2663183865327003,-0.08094702492363516,0.02217763286955638,PDX1
IVW,-0.1815401174610338,0.0061676620467155914,2.0064944355718102e-190,10,0.8339847872801521,0.8239637563331697,0.8441276938077878,,,SLC2A2
Weighted Median,-0.20140205457327817,0.0335493057067132,1.9350648237970586e-09,10,0.8175836522182587,0.7655515735686638,0.8731521839326384,,,SLC2A2
MR-Egger,-0.014025683066001937,0.10128033390165636,0.8898580910037557,10,0.9860722185797702,0.8085319060217622,1.2025974646307391,-0.05491668026380663,0.09188422079065608,SLC2A2
IVW,0.12631749306018725,0.009404517289116673,3.949139541890881e-41,10,1.1346423521746665,1.1139192353304757,1.1557509974827862,,,MAFA
Weighted Median,0.1348124782455158,0.02525514470686402,9.396687627300442e-08,10,1.144322178927663,1.0890572291825038,1.2023915861324428,,,MAFA
MR-Egger,0.09666802507488662,0.09336895296810362,0.300513089087864,10,1.1014946443158304,0.917286776045282,1.3226948029135916,0.009844135393688516,0.7447556070961945,MAFA
IVW,-0.1369739992141638,0.00795250966185065,1.7544392479716058e-66,10,0.8719928983379609,0.8585065937287473,0.885691059691597,,,GCK
Weighted Median,-0.1105569703350858,0.02853581885553774,0.00010692166025113756,10,0.8953353211832378,0.8466336746955276,0.9468384749125148,,,GCK
MR-Egger,0.03271111229332714,0.06007489918197507,0.586093672939304,10,1.033252002320193,0.9184795031880902,1.1623663855240745,-0.0636228845501085,0.002911463833086798,GCK
IVW,0.01149858316038245,0.0108561515405999,0.28951929761753326,10,1.011564945983292,0.990268189693923,1.0333197113586534,,,INS
Weighted Median,0.023006605404945396,0.06113430016655421,0.7066723788075118,10,1.0232732986594015,0.9077224463624468,1.1535334924737537,,,INS
MR-Egger,0.09154113164679142,0.09382004356537316,0.3292083171122159,10,1.0958618503681192,0.9117894755740951,1.3170948198717696,-0.020698395287776443,0.36907541946314504,INS
