"feature","component","loading"
"CPE",1,-0.364866199096924
"INS",1,-0.313938885094674
"Protein_10",1,-0.277612804469329
"KCNJ11",1,-0.27259701630511
"ABCC8",1,-0.25315294483766
"SLC2A2",1,-0.210973615368579
"PCSK1",1,-0.200924520082101
"IAPP",1,-0.179118693966837
"Protein_41",1,0.179026782593033
"GCK",1,-0.167082630404167
"PCSK2",1,-0.165032251065455
"Protein_14",1,-0.163395142122393
"Protein_2",1,-0.158542524970048
"Protein_70",1,0.156913184590133
"Protein_17",1,0.155808350396725
"Protein_55",1,0.152800720598783
"Protein_73",1,-0.139703386853582
"Protein_33",1,0.139415445941815
"Protein_59",1,-0.136560526258737
"TRIB3",1,0.135782473770484
"Protein_37",1,0.134704370905908
"Protein_51",1,-0.12544169525846
"Protein_53",1,-0.125181139835499
"ATF6",1,-0.124070397848216
"NKX6-1",1,-0.108685972792558
"Protein_1",1,-0.105813007883819
"Protein_15",1,0.103289316174838
"Protein_48",1,-0.101828750103566
"Protein_18",1,0.0873375424913615
"XBP1",1,0.08476789374021
"Protein_54",1,0.0777747336409164
"PDX1",1,-0.065943059173428
"Protein_7",1,-0.06023882167378
"Protein_25",1,0.0555664778723243
"Protein_46",1,-0.0492262956789142
"Protein_35",1,0.0420811372081388
"Protein_72",1,0.0310210213874699
"MAFA",1,-0.0296241259469648
"Protein_32",1,-0.0292984062522165
"Protein_6",1,-0.0246628047996404
"Protein_38",1,-0.0102986650792786
"Protein_3",1,-0.00530282676306198
"Protein_31",1,0.00272118312103473
"Protein_11",1,-0.00193919191126851
"Protein_79",1,-0.000146492396322721
"Protein_40",2,0.455774988471555
"Protein_16",2,0.265299042812382
"Protein_12",2,-0.205500156441702
"HSPA5",2,0.119638421512593
"ATF4",2,0.0450470152680489
"Protein_20",2,-0.0397546775777206
