"feature","component","loading"
"CPE",1,-0.572947347938446
"NKX6-1",1,-0.39862584412395
"PDX1",1,-0.2873503345577
"IAPP",1,-0.28145607155367
"PCSK2",1,-0.265194696424523
"EIF2AK3",1,0.238978969171131
"PCSK1",1,-0.219139486454478
"SLC2A2",1,-0.216751404560128
"ABCC8",1,-0.178350686879389
"INS",1,-0.150780101535874
"GCK",1,-0.148221733645595
"Gene_168",1,0.118536246249039
"Gene_107",1,-0.098572229588002
"MAFA",1,-0.0902328105557153
"KCNJ11",1,-0.0818209511960459
"ATF6",1,0.0785580187449438
"Gene_94",1,-0.0583192034741871
"Gene_115",1,-0.0467342120350382
"Gene_44",1,0.0401055504872824
"Gene_140",1,0.0107842753023491
"Gene_47",2,-0.333059176883696
"Gene_152",2,-0.301782916865818
"ERN1",2,0.281523070354995
"Gene_121",2,0.274090589771903
"Gene_52",2,-0.217024652644466
"Gene_189",2,0.209780018530514
"Gene_170",2,0.206655114784273
"Gene_72",2,0.201160198821611
"Gene_154",2,-0.198727059107279
"Gene_128",2,0.19808899338191
"Gene_190",2,-0.197157706010524
"Gene_179",2,-0.179420855984067
"Gene_30",2,-0.176044902808108
"Gene_29",2,-0.172491100329848
"TRIB3",2,0.136630229746444
"Gene_13",2,-0.126196375991412
"Gene_53",2,-0.120397924091813
"Gene_61",2,-0.118662032891753
"CALR",2,0.115922566987429
"Gene_77",2,0.10722491241233
"Gene_33",2,0.104430109937122
"Gene_90",2,-0.100761309637689
"Gene_164",2,-0.100683546166532
"Gene_200",2,0.092577718447712
"Gene_144",2,0.0902175903131105
"Gene_192",2,-0.0900566541267108
"Gene_15",2,0.0780398074809097
"Gene_148",2,-0.0741810618108209
"Gene_173",2,-0.0575993028805953
"Gene_38",2,-0.0527522830314888
"Gene_8",2,0.0510228070861237
"Gene_125",2,0.0496252374691584
"Gene_126",2,0.048525598654606
"XBP1",2,0.0450624840999
"Gene_80",2,0.0414610800729684
"Gene_196",2,-0.0393315399700486
"Gene_18",2,0.0376799998443823
"Gene_156",2,0.0369312582554866
"HSP90B1",2,0.0355058461915485
"Gene_60",2,-0.0340743702399569
"Gene_87",2,0.033842925625743
"Gene_129",2,0.0269659840926897
"Gene_37",2,-0.018361099130155
"Gene_102",2,0.0164319157449063
"Gene_137",2,-0.0151073958837193
"Gene_35",2,0.0129132105382235
"Gene_180",2,0.0114552507477581
"Gene_79",2,-0.00982153601640793
"Gene_89",2,-0.00929978106179903
"Gene_17",2,-0.00919219442076357
"Gene_150",2,0.00692208179989387
"Gene_176",2,0.00477945476336271
"Gene_85",2,-0.00360850774374441
